company,date,close_usd
STX,2024-08-21,104.44
STX,2024-08-28,99.25
STX,2024-09-05,100.81
STX,2024-09-12,100.62
STX,2024-09-19,104.12
STX,2024-09-26,110.76
STX,2024-10-03,108.8
STX,2024-10-10,108.12
STX,2024-10-17,112.45
STX,2024-10-24,103.98
STX,2024-10-31,100.37
STX,2024-11-07,105.11
STX,2024-11-14,97.46
STX,2024-11-21,99.92
STX,2024-11-29,101.33
STX,2024-12-06,98.51
STX,2024-12-13,95.75
STX,2024-12-20,87.31
STX,2024-12-30,86.53
STX,2025-01-07,89.6
STX,2025-01-15,94.34
STX,2025-01-23,108.42
STX,2025-01-30,98.28
STX,2025-02-06,96.54
STX,2025-02-13,101.48
STX,2025-02-21,100.85
STX,2025-02-28,101.91
STX,2025-03-07,88
STX,2025-03-14,87.9
STX,2025-03-21,88.27
STX,2025-03-28,84.92
STX,2025-04-04,66.73
STX,2025-04-11,70.15
STX,2025-04-21,73.93
STX,2025-04-28,82.16
STX,2025-05-05,93.58
STX,2025-05-12,101.95
STX,2025-05-19,109.04
STX,2025-05-27,117.05
STX,2025-06-03,123.23
STX,2025-06-10,127.99
STX,2025-06-17,130.87
STX,2025-06-25,138.54
STX,2025-07-02,151.94
STX,2025-07-10,144.5
STX,2025-07-17,146.72
STX,2025-07-24,152.73
STX,2025-07-31,157.01
STX,2025-08-07,148.1
STX,2025-08-14,155.73
STX,2025-08-21,154.6
STX,2025-08-28,172.38
STX,2025-09-05,188.16
STX,2025-09-12,195.99
STX,2025-09-19,221.23
STX,2025-09-26,217.51
STX,2025-10-03,252.79
STX,2025-10-10,214.38
STX,2025-10-17,225.4
STX,2025-10-24,234.12
STX,2025-10-31,255.88
STX,2025-11-07,279.35
STX,2025-11-14,258.21
STX,2025-11-21,237.49
STX,2025-12-01,270.1
STX,2025-12-08,285.41
STX,2025-12-15,285.58
STX,2025-12-22,282.85
STX,2025-12-30,280.08
STX,2026-01-07,308.26
STX,2026-01-14,312.28
STX,2026-01-22,346.53
STX,2026-01-29,446.57
STX,2026-02-05,405.45
STX,2026-02-12,431.17
STX,2026-02-20,411.11
STX,2026-02-27,407.84
STX,2026-03-06,352.8
STX,2026-03-13,383.71
STX,2026-03-20,411.23
STX,2026-03-27,380.07
STX,2026-04-06,453.3
STX,2026-04-13,513.28
STX,2026-04-20,539.75
STX,2026-04-27,595.86
STX,2026-05-04,738.54
STX,2026-05-11,834.01
STX,2026-05-18,740.84
STX,2026-05-26,845.76
STX,2026-06-02,926.61
STX,2026-06-09,846.01
STX,2026-06-16,1031.34
STX,2026-06-24,993.25
STX,2026-07-01,915.19
STX,2026-07-09,890.09
STX,2026-07-16,745.49
STX,2026-07-23,913.36
STX,2026-07-30,851.68
STX,2026-08-06,852.95
STX,2026-08-13,921.37
STX,2026-08-20,850.24
STX,2026-08-27,847.2
STX,2026-09-03,798.61
STX,2026-09-11,830.17
STX,2026-09-18,858.79
STX,2026-09-23,923.86
WDC,2023-01-03,24.0518
WDC,2023-01-10,29.2282
WDC,2023-01-18,28.6922
WDC,2023-01-25,31.6326
WDC,2023-02-01,33.1718
WDC,2023-02-08,32.7276
WDC,2023-02-15,33.4398
WDC,2023-02-23,30.4687
WDC,2023-03-02,29.389
